Year,Stage,Home Team Name,Away Team Name,Home Team Goals,Away Team Goals,Result
1930.0,Group 1,France,Mexico,4.0,1.0,HomeWin
1930.0,Group 4,USA,Belgium,3.0,0.0,HomeWin
1930.0,Group 2,Yugoslavia,Brazil,2.0,1.0,HomeWin
1930.0,Group 3,Romania,Peru,3.0,1.0,HomeWin
1930.0,Group 1,Argentina,France,1.0,0.0,HomeWin
1930.0,Group 1,Chile,Mexico,3.0,0.0,HomeWin
1930.0,Group 2,Yugoslavia,Bolivia,4.0,0.0,HomeWin
1930.0,Group 4,USA,Paraguay,3.0,0.0,HomeWin
1930.0,Group 3,Uruguay,Peru,1.0,0.0,HomeWin
1930.0,Group 1,Chile,France,1.0,0.0,HomeWin
1930.0,Group 1,Argentina,Mexico,6.0,3.0,HomeWin
1930.0,Group 2,Brazil,Bolivia,4.0,0.0,HomeWin
1930.0,Group 4,Paraguay,Belgium,1.0,0.0,HomeWin
1930.0,Group 3,Uruguay,Romania,4.0,0.0,HomeWin
1930.0,Group 1,Argentina,Chile,3.0,1.0,HomeWin
1930.0,Semi-finals,Argentina,USA,6.0,1.0,HomeWin
1930.0,Semi-finals,Uruguay,Yugoslavia,6.0,1.0,HomeWin
1930.0,Final,Uruguay,Argentina,4.0,2.0,HomeWin
1934.0,Preliminary round,Austria,France,3.0,2.0,HomeWin
1934.0,Preliminary round,Hungary,Egypt,4.0,2.0,HomeWin
1934.0,Preliminary round,Switzerland,Netherlands,3.0,2.0,HomeWin
1934.0,Preliminary round,Sweden,Argentina,3.0,2.0,HomeWin
1934.0,Preliminary round,Germany,Belgium,5.0,2.0,HomeWin
1934.0,Preliminary round,Spain,Brazil,3.0,1.0,HomeWin
1934.0,Preliminary round,Italy,USA,7.0,1.0,HomeWin
1934.0,Preliminary round,Czechoslovakia,Romania,2.0,1.0,HomeWin
1934.0,Quarter-finals,Czechoslovakia,Switzerland,3.0,2.0,HomeWin
1934.0,Quarter-finals,Germany,Sweden,2.0,1.0,HomeWin
1934.0,Quarter-finals,Italy,Spain,1.0,1.0,Draw
1934.0,Quarter-finals,Austria,Hungary,2.0,1.0,HomeWin
1934.0,Quarter-finals,Italy,Spain,1.0,0.0,HomeWin
1934.0,Semi-finals,Italy,Austria,1.0,0.0,HomeWin
1934.0,Semi-finals,Czechoslovakia,Germany,3.0,1.0,HomeWin
1934.0,Match for third place,Germany,Austria,3.0,2.0,HomeWin
1934.0,Final,Italy,Czechoslovakia,2.0,1.0,HomeWin
1938.0,First round,Switzerland,Germany,1.0,1.0,Draw
1938.0,First round,Hungary,Dutch East Indies,6.0,0.0,HomeWin
1938.0,First round,France,Belgium,3.0,1.0,HomeWin
1938.0,First round,Cuba,Romania,3.0,3.0,Draw
1938.0,First round,Italy,Norway,2.0,1.0,HomeWin
1938.0,First round,Brazil,Poland,6.0,5.0,HomeWin
1938.0,First round,Czechoslovakia,Netherlands,3.0,0.0,HomeWin
